Customer ID,Item Purchased,Category,Purchase Amount (USD),Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
570,Skirt,Clothing,33,M,Pink,Fall,4.4,Yes,Express,Yes,Yes,46,Credit Card,Every 3 Months
571,T-shirt,Clothing,99,XL,Purple,Fall,4.1,Yes,Standard,Yes,Yes,20,Cash,Annually
572,Jacket,Outerwear,76,XL,Cyan,Spring,3.6,Yes,Free Shipping,Yes,Yes,37,Venmo,Weekly
573,Scarf,Accessories,97,XL,Cyan,Summer,4.6,Yes,Next Day Air,Yes,Yes,26,Bank Transfer,Annually
574,Pants,Clothing,68,M,Charcoal,Summer,3.2,Yes,2-Day Shipping,Yes,Yes,23,Credit Card,Bi-Weekly
575,Sneakers,Footwear,79,L,Red,Fall,4.8,Yes,Free Shipping,Yes,Yes,20,Bank Transfer,Bi-Weekly
576,Jeans,Clothing,86,M,Peach,Fall,4.8,Yes,Express,Yes,Yes,38,PayPal,Monthly
577,Hat,Accessories,68,M,Black,Winter,5,Yes,2-Day Shipping,Yes,Yes,5,Credit Card,Every 3 Months
578,Skirt,Clothing,52,M,Black,Fall,3.7,Yes,Store Pickup,Yes,Yes,41,Venmo,Annually
579,Sandals,Footwear,90,M,Purple,Fall,4.6,Yes,Next Day Air,Yes,Yes,22,Credit Card,Fortnightly
580,Sandals,Footwear,41,M,Violet,Winter,3.7,Yes,Free Shipping,Yes,Yes,48,Credit Card,Annually
581,Sweater,Clothing,80,M,Orange,Spring,4.1,Yes,Free Shipping,Yes,Yes,10,PayPal,Weekly
582,Sweater,Clothing,100,XL,Charcoal,Winter,2.7,Yes,Store Pickup,Yes,Yes,12,Bank Transfer,Every 3 Months
583,Jacket,Outerwear,77,L,Turquoise,Spring,4.9,Yes,Store Pickup,Yes,Yes,2,Bank Transfer,Quarterly
584,Shorts,Clothing,78,L,Yellow,Spring,4,Yes,Store Pickup,Yes,Yes,38,PayPal,Monthly
585,Socks,Clothing,94,M,White,Spring,4.7,Yes,Free Shipping,Yes,Yes,20,Debit Card,Monthly
586,Socks,Clothing,23,M,Gray,Fall,2.8,Yes,Next Day Air,Yes,Yes,5,Cash,Every 3 Months
587,Hoodie,Clothing,20,S,Blue,Winter,4.9,Yes,2-Day Shipping,Yes,Yes,9,Venmo,Annually
588,Socks,Clothing,86,S,Maroon,Fall,4.2,Yes,Express,Yes,Yes,48,Debit Card,Every 3 Months
589,Boots,Footwear,60,M,Violet,Fall,3,Yes,Standard,Yes,Yes,9,Debit Card,Quarterly
590,Shirt,Clothing,70,M,Orange,Fall,3.4,Yes,2-Day Shipping,Yes,Yes,40,PayPal,Annually
591,Belt,Accessories,39,S,Turquoise,Fall,4.6,Yes,Standard,Yes,Yes,30,Venmo,Fortnightly
592,Backpack,Accessories,37,L,Olive,Fall,4.2,Yes,Store Pickup,Yes,Yes,6,Debit Card,Bi-Weekly
593,Boots,Footwear,29,M,Brown,Fall,3.2,Yes,Free Shipping,Yes,Yes,42,Venmo,Every 3 Months
594,Coat,Outerwear,35,S,Green,Winter,4.4,Yes,Store Pickup,Yes,Yes,9,PayPal,Every 3 Months
595,Hoodie,Clothing,83,S,Brown,Winter,2.5,Yes,Next Day Air,Yes,Yes,6,Debit Card,Monthly
596,Shoes,Footwear,77,M,Silver,Summer,3.6,Yes,Next Day Air,Yes,Yes,47,PayPal,Quarterly
597,Shoes,Footwear,37,XL,White,Summer,4.5,Yes,Store Pickup,Yes,Yes,36,Venmo,Annually
598,Jewelry,Accessories,69,L,Gold,Summer,3.4,Yes,Standard,Yes,Yes,19,Bank Transfer,Fortnightly
599,Dress,Clothing,66,L,Green,Winter,3.2,Yes,2-Day Shipping,Yes,Yes,30,Cash,Every 3 Months
600,Boots,Footwear,26,L,Teal,Spring,4.2,Yes,Standard,Yes,Yes,27,Debit Card,Every 3 Months
601,Hat,Accessories,63,M,Charcoal,Spring,5,Yes,2-Day Shipping,Yes,Yes,25,Venmo,Monthly
602,Backpack,Accessories,38,M,Maroon,Summer,4.7,Yes,Store Pickup,Yes,Yes,5,Cash,Fortnightly
603,Shoes,Footwear,58,L,Lavender,Summer,4.2,Yes,Next Day Air,Yes,Yes,10,Cash,Every 3 Months
604,Handbag,Accessories,46,L,Green,Winter,3.4,Yes,2-Day Shipping,Yes,Yes,26,PayPal,Every 3 Months
605,Sunglasses,Accessories,92,S,Pink,Fall,4.4,Yes,Store Pickup,Yes,Yes,11,Credit Card,Every 3 Months
606,Hat,Accessories,32,XL,Charcoal,Winter,4.2,Yes,Standard,Yes,Yes,17,Bank Transfer,Weekly
607,Scarf,Accessories,90,M,Blue,Spring,4.5,Yes,Standard,Yes,Yes,44,PayPal,Monthly
608,Hoodie,Clothing,23,L,Purple,Fall,2.8,Yes,Next Day Air,Yes,Yes,44,Cash,Monthly
609,Backpack,Accessories,25,S,Gold,Fall,3.3,Yes,Next Day Air,Yes,Yes,21,Venmo,Every 3 Months
610,Sweater,Clothing,54,L,Purple,Fall,4.6,Yes,Next Day Air,Yes,Yes,49,Credit Card,Fortnightly
611,Shorts,Clothing,72,M,Charcoal,Summer,2.5,Yes,Free Shipping,Yes,Yes,27,Bank Transfer,Every 3 Months
612,Scarf,Accessories,33,M,Black,Winter,4.7,Yes,Store Pickup,Yes,Yes,19,Cash,Monthly
613,Hat,Accessories,43,L,Lavender,Fall,4.6,Yes,Express,Yes,Yes,33,Credit Card,Quarterly
614,Coat,Outerwear,51,L,Lavender,Fall,2.6,Yes,Standard,Yes,Yes,46,Cash,Bi-Weekly
615,Jewelry,Accessories,85,M,Lavender,Winter,4,Yes,Standard,Yes,Yes,21,Credit Card,Bi-Weekly
616,Sandals,Footwear,100,L,Olive,Summer,2.6,Yes,Next Day Air,Yes,Yes,23,Venmo,Annually
617,Gloves,Accessories,72,L,Teal,Spring,4.6,Yes,Free Shipping,Yes,Yes,38,Credit Card,Every 3 Months
618,Backpack,Accessories,57,M,Maroon,Fall,2.6,Yes,Standard,Yes,Yes,2,Bank Transfer,Quarterly
619,Jacket,Outerwear,94,L,Cyan,Spring,4,Yes,Express,Yes,Yes,21,Debit Card,Bi-Weekly
620,Backpack,Accessories,34,M,Charcoal,Summer,4.6,Yes,Store Pickup,Yes,Yes,1,Debit Card,Every 3 Months
621,Backpack,Accessories,89,M,Black,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,10,Venmo,Every 3 Months
622,Sunglasses,Accessories,27,S,Red,Fall,4.4,Yes,Store Pickup,Yes,Yes,45,Credit Card,Weekly
623,Socks,Clothing,63,S,Peach,Spring,4,Yes,Next Day Air,Yes,Yes,44,Bank Transfer,Fortnightly
624,Shoes,Footwear,70,M,White,Fall,4.7,Yes,Standard,Yes,Yes,48,PayPal,Bi-Weekly
625,Pants,Clothing,87,XL,Pink,Fall,3.4,Yes,Express,Yes,Yes,21,PayPal,Annually
626,Jewelry,Accessories,79,M,Red,Fall,4,Yes,Next Day Air,Yes,Yes,1,Venmo,Weekly
627,Sunglasses,Accessories,79,M,Indigo,Spring,3.9,Yes,Standard,Yes,Yes,10,Venmo,Annually
628,Sandals,Footwear,44,L,Black,Winter,4.1,Yes,Express,Yes,Yes,24,PayPal,Monthly
629,Sweater,Clothing,85,M,White,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,29,Credit Card,Monthly
630,Shoes,Footwear,90,L,Beige,Spring,4.7,Yes,Standard,Yes,Yes,11,Debit Card,Annually
631,Jewelry,Accessories,94,S,Silver,Fall,4.3,Yes,2-Day Shipping,Yes,Yes,33,Debit Card,Annually
632,Boots,Footwear,68,S,Violet,Summer,4.1,Yes,Store Pickup,Yes,Yes,27,Cash,Fortnightly
633,Backpack,Accessories,51,M,Red,Winter,3.9,Yes,Next Day Air,Yes,Yes,19,Venmo,Fortnightly
634,Sandals,Footwear,33,M,Orange,Spring,2.9,Yes,Express,Yes,Yes,50,Debit Card,Quarterly
635,Sneakers,Footwear,60,M,Teal,Summer,3.9,Yes,Standard,Yes,Yes,46,PayPal,Weekly
636,Hoodie,Clothing,59,M,Brown,Fall,4.3,Yes,2-Day Shipping,Yes,Yes,28,Cash,Quarterly
637,Handbag,Accessories,30,M,Indigo,Summer,2.8,Yes,Store Pickup,Yes,Yes,14,Bank Transfer,Every 3 Months
638,Sweater,Clothing,20,M,Cyan,Winter,3.4,Yes,2-Day Shipping,Yes,Yes,46,Cash,Fortnightly
639,Sandals,Footwear,20,S,Blue,Summer,2.7,Yes,Express,Yes,Yes,41,PayPal,Monthly
640,Dress,Clothing,24,L,Olive,Spring,4,Yes,2-Day Shipping,Yes,Yes,50,Credit Card,Annually
641,Skirt,Clothing,88,M,Gray,Summer,4.4,Yes,Store Pickup,Yes,Yes,28,Debit Card,Fortnightly
642,Blouse,Clothing,78,M,Red,Winter,3.9,Yes,2-Day Shipping,Yes,Yes,23,Credit Card,Every 3 Months
643,Skirt,Clothing,25,L,Red,Spring,2.8,Yes,2-Day Shipping,Yes,Yes,14,Debit Card,Bi-Weekly
644,Sweater,Clothing,57,XL,Green,Winter,3.2,Yes,Next Day Air,Yes,Yes,10,Bank Transfer,Every 3 Months
645,Backpack,Accessories,93,S,Blue,Summer,4.3,Yes,Next Day Air,Yes,Yes,37,Cash,Weekly
646,Hoodie,Clothing,42,S,Purple,Summer,4.2,Yes,Express,Yes,Yes,15,Venmo,Bi-Weekly
647,Boots,Footwear,54,XL,Pink,Spring,4.9,Yes,Standard,Yes,Yes,19,Venmo,Bi-Weekly
648,Blouse,Clothing,70,XL,Charcoal,Summer,3.7,Yes,Express,Yes,Yes,23,Credit Card,Fortnightly
649,Hoodie,Clothing,31,M,Brown,Winter,4.1,Yes,Store Pickup,Yes,Yes,35,Credit Card,Weekly
650,Pants,Clothing,93,L,Orange,Spring,4.2,Yes,Store Pickup,Yes,Yes,33,PayPal,Every 3 Months
651,Gloves,Accessories,40,M,Magenta,Spring,3.9,Yes,Next Day Air,Yes,Yes,12,Bank Transfer,Annually
652,Hat,Accessories,32,L,Yellow,Summer,2.9,Yes,Next Day Air,Yes,Yes,41,Venmo,Fortnightly
653,Sunglasses,Accessories,27,M,Beige,Winter,3.1,Yes,Free Shipping,Yes,Yes,27,Venmo,Weekly
654,Scarf,Accessories,68,M,Olive,Winter,3.6,Yes,2-Day Shipping,Yes,Yes,45,Cash,Fortnightly
655,Handbag,Accessories,59,L,Gray,Summer,4.4,Yes,2-Day Shipping,Yes,Yes,23,Venmo,Annually
656,Handbag,Accessories,36,S,Purple,Fall,3.1,Yes,Free Shipping,Yes,Yes,19,Venmo,Monthly
657,Jeans,Clothing,23,M,Beige,Summer,3.9,Yes,Standard,Yes,Yes,6,PayPal,Quarterly
658,Jacket,Outerwear,80,M,White,Winter,4.3,Yes,Free Shipping,Yes,Yes,6,PayPal,Quarterly
659,Backpack,Accessories,37,S,White,Fall,4.9,Yes,Store Pickup,Yes,Yes,20,Venmo,Weekly
660,Shorts,Clothing,52,S,Gold,Spring,3.6,Yes,2-Day Shipping,Yes,Yes,8,Cash,Weekly
661,Coat,Outerwear,79,M,Olive,Fall,5,Yes,2-Day Shipping,Yes,Yes,39,Credit Card,Quarterly
662,Shirt,Clothing,68,XL,Green,Fall,4.1,Yes,Store Pickup,Yes,Yes,39,Credit Card,Quarterly
663,Gloves,Accessories,98,L,Magenta,Fall,2.8,Yes,Express,Yes,Yes,39,Venmo,Bi-Weekly
664,Dress,Clothing,83,M,Charcoal,Fall,4.7,Yes,Express,Yes,Yes,23,Credit Card,Monthly
665,Pants,Clothing,83,M,Indigo,Winter,4.4,Yes,Express,Yes,Yes,41,PayPal,Bi-Weekly
666,Pants,Clothing,55,M,Peach,Spring,4.9,Yes,2-Day Shipping,Yes,Yes,50,Credit Card,Annually
667,Hoodie,Clothing,26,L,Turquoise,Winter,3.1,Yes,Free Shipping,Yes,Yes,30,Debit Card,Quarterly
668,Sunglasses,Accessories,76,S,Blue,Winter,2.6,Yes,Standard,Yes,Yes,32,Bank Transfer,Quarterly
669,T-shirt,Clothing,85,S,Turquoise,Fall,2.9,Yes,Express,Yes,Yes,35,Bank Transfer,Monthly
670,Jacket,Outerwear,89,M,Gray,Spring,3.3,Yes,Free Shipping,Yes,Yes,45,Venmo,Bi-Weekly
671,Sweater,Clothing,41,XL,Purple,Spring,4.8,Yes,Next Day Air,Yes,Yes,37,Cash,Bi-Weekly
672,Jacket,Outerwear,30,L,Black,Winter,4.7,Yes,Express,Yes,Yes,45,Cash,Weekly
673,Socks,Clothing,53,M,Peach,Winter,3.3,Yes,2-Day Shipping,Yes,Yes,29,Cash,Quarterly
674,Shirt,Clothing,66,M,Indigo,Spring,4.2,Yes,Free Shipping,Yes,Yes,27,Venmo,Bi-Weekly
675,Jewelry,Accessories,33,XL,Beige,Winter,4.7,Yes,Store Pickup,Yes,Yes,36,Bank Transfer,Annually
676,Sunglasses,Accessories,86,M,Yellow,Spring,2.6,Yes,2-Day Shipping,Yes,Yes,9,Cash,Annually
677,Pants,Clothing,60,M,Peach,Winter,2.9,Yes,2-Day Shipping,Yes,Yes,38,Venmo,Bi-Weekly
678,Socks,Clothing,62,S,Turquoise,Summer,2.7,Yes,Express,Yes,Yes,41,PayPal,Annually
679,Blouse,Clothing,74,M,Teal,Fall,3.3,Yes,Store Pickup,Yes,Yes,25,Debit Card,Every 3 Months
680,Sandals,Footwear,95,M,Turquoise,Fall,3.4,Yes,Express,Yes,Yes,37,Venmo,Fortnightly
681,Sneakers,Footwear,25,M,Magenta,Spring,4.2,Yes,Express,Yes,Yes,3,PayPal,Annually
682,Shirt,Clothing,59,XL,Purple,Winter,3.8,Yes,2-Day Shipping,Yes,Yes,24,Credit Card,Every 3 Months
683,Jacket,Outerwear,29,M,Brown,Summer,4,Yes,Standard,Yes,Yes,49,Credit Card,Bi-Weekly
684,Sandals,Footwear,36,S,Violet,Winter,2.7,Yes,Free Shipping,Yes,Yes,3,Bank Transfer,Monthly
685,Hat,Accessories,82,M,Yellow,Summer,4.7,Yes,Express,Yes,Yes,42,Debit Card,Monthly
686,Blouse,Clothing,71,XL,Magenta,Winter,3.5,Yes,Standard,Yes,Yes,32,Cash,Fortnightly
687,Sweater,Clothing,35,L,Beige,Fall,3,Yes,2-Day Shipping,Yes,Yes,33,Venmo,Fortnightly
688,Gloves,Accessories,38,XL,Turquoise,Winter,3.3,Yes,Free Shipping,Yes,Yes,46,Bank Transfer,Quarterly
689,Scarf,Accessories,59,S,Peach,Summer,4.7,Yes,Store Pickup,Yes,Yes,44,Venmo,Monthly
690,Hoodie,Clothing,91,M,Orange,Summer,4.7,Yes,Express,Yes,Yes,35,Credit Card,Every 3 Months
691,Shorts,Clothing,68,XL,Red,Spring,4.8,Yes,Standard,Yes,Yes,45,Bank Transfer,Weekly
692,Backpack,Accessories,21,L,Silver,Summer,2.9,Yes,Standard,Yes,Yes,37,PayPal,Bi-Weekly
693,Sunglasses,Accessories,95,M,Cyan,Spring,4,Yes,2-Day Shipping,Yes,Yes,40,Debit Card,Every 3 Months
694,Shorts,Clothing,52,L,Turquoise,Spring,3.1,Yes,Free Shipping,Yes,Yes,30,Cash,Every 3 Months
695,Dress,Clothing,21,S,Charcoal,Fall,3.5,Yes,2-Day Shipping,Yes,Yes,38,Venmo,Every 3 Months
696,Shorts,Clothing,67,XL,Peach,Summer,3.7,Yes,Next Day Air,Yes,Yes,15,Debit Card,Every 3 Months
697,Belt,Accessories,42,L,Green,Fall,2.8,Yes,Standard,Yes,Yes,49,Cash,Monthly
698,Scarf,Accessories,63,XL,Brown,Summer,4.6,Yes,Free Shipping,Yes,Yes,40,Debit Card,Quarterly
699,Boots,Footwear,41,M,Yellow,Winter,3.8,Yes,Standard,Yes,Yes,40,Debit Card,Weekly
700,Handbag,Accessories,46,M,Charcoal,Fall,2.6,Yes,2-Day Shipping,Yes,Yes,5,PayPal,Weekly
701,Pants,Clothing,79,L,Olive,Winter,4.1,Yes,Standard,Yes,Yes,5,PayPal,Monthly
702,Boots,Footwear,90,L,Red,Fall,3.3,Yes,Next Day Air,Yes,Yes,5,Debit Card,Every 3 Months
703,Shirt,Clothing,71,M,White,Winter,3.4,Yes,Store Pickup,Yes,Yes,1,Cash,Weekly
704,Dress,Clothing,87,L,Pink,Summer,3,Yes,Standard,Yes,Yes,21,Venmo,Weekly
705,Hoodie,Clothing,66,S,Black,Spring,3.2,Yes,Express,Yes,Yes,18,PayPal,Annually
706,Pants,Clothing,90,XL,Indigo,Summer,4.5,Yes,Free Shipping,Yes,Yes,49,Cash,Quarterly
707,Jeans,Clothing,47,L,Turquoise,Summer,4.8,Yes,Express,Yes,Yes,27,Debit Card,Weekly
708,Shirt,Clothing,38,L,Purple,Spring,3.7,Yes,Next Day Air,Yes,Yes,21,Venmo,Annually
709,Backpack,Accessories,50,L,Beige,Summer,3.4,Yes,Store Pickup,Yes,Yes,19,Cash,Fortnightly
710,Jacket,Outerwear,79,L,Charcoal,Summer,4.6,Yes,Standard,Yes,Yes,23,Debit Card,Monthly
711,Scarf,Accessories,91,L,Turquoise,Spring,4.1,Yes,Standard,Yes,Yes,26,PayPal,Fortnightly
712,Boots,Footwear,60,M,Maroon,Spring,3.5,Yes,2-Day Shipping,Yes,Yes,13,Bank Transfer,Bi-Weekly
713,Blouse,Clothing,81,XL,Black,Summer,3.8,Yes,Next Day Air,Yes,Yes,36,Bank Transfer,Quarterly
714,Hoodie,Clothing,90,M,Lavender,Summer,2.6,Yes,Express,Yes,Yes,39,Bank Transfer,Bi-Weekly
715,Jacket,Outerwear,70,M,Magenta,Fall,4.4,Yes,Store Pickup,Yes,Yes,40,Debit Card,Fortnightly
716,Jeans,Clothing,63,L,Green,Spring,2.6,Yes,Express,Yes,Yes,37,Debit Card,Quarterly
717,Jewelry,Accessories,29,M,Olive,Spring,3.6,Yes,Express,Yes,Yes,9,Venmo,Bi-Weekly
718,Socks,Clothing,90,L,Green,Spring,4.2,Yes,Express,Yes,Yes,7,Venmo,Every 3 Months
719,Shirt,Clothing,22,M,Peach,Summer,4.6,Yes,Standard,Yes,Yes,25,Bank Transfer,Annually
720,Shorts,Clothing,22,L,Turquoise,Summer,3.3,Yes,Next Day Air,Yes,Yes,42,Venmo,Bi-Weekly
721,Jewelry,Accessories,62,L,Orange,Fall,3.4,Yes,Free Shipping,Yes,Yes,19,Debit Card,Weekly
722,Blouse,Clothing,57,L,Silver,Summer,4.4,Yes,Next Day Air,Yes,Yes,41,Debit Card,Every 3 Months
723,Sweater,Clothing,32,S,Blue,Summer,4.3,Yes,Store Pickup,Yes,Yes,50,Cash,Bi-Weekly
724,Jewelry,Accessories,53,L,Cyan,Fall,3.5,Yes,Express,Yes,Yes,43,PayPal,Monthly
725,T-shirt,Clothing,79,XL,Green,Fall,4.7,Yes,Store Pickup,Yes,Yes,36,Venmo,Every 3 Months
726,Hat,Accessories,61,L,Silver,Winter,3.1,Yes,Standard,Yes,Yes,33,Debit Card,Fortnightly
727,Shorts,Clothing,78,L,Yellow,Summer,3.6,Yes,Next Day Air,Yes,Yes,20,Bank Transfer,Every 3 Months
728,Sweater,Clothing,97,S,Gray,Winter,4.8,Yes,Next Day Air,Yes,Yes,37,Venmo,Every 3 Months
729,Jeans,Clothing,78,M,Pink,Winter,3.7,Yes,Next Day Air,Yes,Yes,12,PayPal,Every 3 Months
730,Sunglasses,Accessories,56,L,Beige,Summer,3.2,Yes,Express,Yes,Yes,46,PayPal,Every 3 Months
731,Boots,Footwear,25,M,Indigo,Summer,3.9,Yes,Standard,Yes,Yes,28,Venmo,Fortnightly
732,Coat,Outerwear,28,M,Red,Spring,3.5,Yes,Free Shipping,Yes,Yes,30,PayPal,Fortnightly
733,Shirt,Clothing,57,L,Blue,Spring,2.8,Yes,Express,Yes,Yes,28,Cash,Bi-Weekly
734,Dress,Clothing,36,L,Cyan,Fall,2.7,Yes,2-Day Shipping,Yes,Yes,20,Debit Card,Bi-Weekly
735,Shirt,Clothing,69,S,Violet,Winter,3.1,Yes,Express,Yes,Yes,39,Bank Transfer,Every 3 Months
736,Sunglasses,Accessories,48,M,Orange,Fall,3.6,Yes,2-Day Shipping,Yes,Yes,48,Cash,Bi-Weekly
737,Dress,Clothing,58,L,Maroon,Spring,2.9,Yes,2-Day Shipping,Yes,Yes,32,Credit Card,Every 3 Months
738,Sunglasses,Accessories,24,M,Teal,Spring,3.6,Yes,Store Pickup,Yes,Yes,28,PayPal,Annually
739,Sunglasses,Accessories,31,L,Orange,Winter,3.5,Yes,2-Day Shipping,Yes,Yes,27,Venmo,Quarterly
740,Shorts,Clothing,29,S,Purple,Summer,3.5,Yes,Free Shipping,Yes,Yes,26,Venmo,Bi-Weekly
741,Jeans,Clothing,69,M,Orange,Summer,2.8,Yes,Next Day Air,Yes,Yes,22,Credit Card,Fortnightly
742,T-shirt,Clothing,79,XL,Yellow,Summer,4.7,Yes,Free Shipping,Yes,Yes,23,Bank Transfer,Every 3 Months
743,Pants,Clothing,39,M,Charcoal,Summer,3.1,Yes,Express,Yes,Yes,21,Debit Card,Quarterly
744,Sunglasses,Accessories,84,L,Gray,Fall,4.9,Yes,Free Shipping,Yes,Yes,36,Cash,Weekly
745,Boots,Footwear,66,S,Charcoal,Spring,4.1,Yes,Next Day Air,Yes,Yes,42,Debit Card,Bi-Weekly
746,T-shirt,Clothing,92,L,Orange,Fall,4.7,Yes,Standard,Yes,Yes,4,Venmo,Monthly
747,Sandals,Footwear,45,M,Red,Winter,2.5,Yes,Free Shipping,Yes,Yes,47,Credit Card,Annually
748,Shorts,Clothing,74,L,Gold,Spring,4.4,Yes,Next Day Air,Yes,Yes,13,Bank Transfer,Weekly
749,Hat,Accessories,39,L,Brown,Fall,3.9,Yes,Free Shipping,Yes,Yes,8,Bank Transfer,Quarterly
750,Scarf,Accessories,71,M,Olive,Winter,3.7,Yes,Standard,Yes,Yes,11,Debit Card,Quarterly
751,T-shirt,Clothing,95,L,Violet,Fall,3.4,Yes,Free Shipping,Yes,Yes,5,Venmo,Annually
752,Gloves,Accessories,72,L,Indigo,Fall,4.8,Yes,Free Shipping,Yes,Yes,1,Credit Card,Monthly
753,Scarf,Accessories,85,L,Yellow,Fall,4.2,Yes,2-Day Shipping,Yes,Yes,17,PayPal,Every 3 Months
754,Boots,Footwear,54,M,Teal,Fall,3.4,Yes,Store Pickup,Yes,Yes,27,Venmo,Quarterly
755,Gloves,Accessories,41,L,Pink,Spring,2.9,Yes,Store Pickup,Yes,Yes,3,Debit Card,Quarterly
756,Coat,Outerwear,24,M,Violet,Spring,3.3,Yes,Free Shipping,Yes,Yes,22,PayPal,Weekly
757,Belt,Accessories,99,S,Orange,Summer,4.8,Yes,Standard,Yes,Yes,24,Cash,Fortnightly
758,Hoodie,Clothing,32,M,Red,Fall,3.8,Yes,Store Pickup,Yes,Yes,18,Debit Card,Quarterly
759,Shoes,Footwear,71,L,Peach,Summer,4.6,Yes,2-Day Shipping,Yes,Yes,39,Bank Transfer,Every 3 Months
760,Dress,Clothing,49,XL,Green,Winter,2.6,Yes,Next Day Air,Yes,Yes,25,Credit Card,Fortnightly
761,Gloves,Accessories,50,XL,Violet,Fall,3.4,Yes,Free Shipping,Yes,Yes,6,Cash,Annually
762,Jewelry,Accessories,91,L,Yellow,Fall,4.2,Yes,Express,Yes,Yes,26,Bank Transfer,Weekly
763,Belt,Accessories,46,M,Pink,Fall,3.9,Yes,Standard,Yes,Yes,43,Debit Card,Fortnightly
764,Sweater,Clothing,50,M,Brown,Spring,2.9,Yes,2-Day Shipping,Yes,Yes,6,Credit Card,Monthly
765,Skirt,Clothing,39,XL,Silver,Fall,4.2,Yes,Free Shipping,Yes,Yes,6,Debit Card,Quarterly
766,Sneakers,Footwear,99,M,Pink,Summer,3,Yes,Store Pickup,Yes,Yes,13,Cash,Quarterly
767,Gloves,Accessories,48,M,Cyan,Winter,3.6,Yes,Next Day Air,Yes,Yes,13,PayPal,Monthly
768,Coat,Outerwear,77,M,Brown,Fall,2.5,Yes,Next Day Air,Yes,Yes,11,Cash,Annually
769,Backpack,Accessories,95,XL,Red,Spring,2.6,Yes,Express,Yes,Yes,45,Venmo,Weekly
770,Socks,Clothing,100,M,Silver,Spring,4.3,Yes,Store Pickup,Yes,Yes,8,PayPal,Monthly
771,Sneakers,Footwear,54,M,Gray,Spring,3.3,Yes,Express,Yes,Yes,8,Credit Card,Annually
772,Sweater,Clothing,68,L,Cyan,Fall,2.6,Yes,Next Day Air,Yes,Yes,34,Bank Transfer,Fortnightly
773,Jeans,Clothing,22,L,Teal,Fall,3.6,Yes,Free Shipping,Yes,Yes,40,Debit Card,Bi-Weekly
774,Hat,Accessories,84,L,Indigo,Winter,2.6,Yes,Express,Yes,Yes,14,Debit Card,Bi-Weekly
775,Hat,Accessories,46,M,Yellow,Summer,3.5,Yes,Standard,Yes,Yes,11,Credit Card,Quarterly
776,Handbag,Accessories,53,S,Gold,Winter,3,Yes,Store Pickup,Yes,Yes,8,PayPal,Monthly
777,Shirt,Clothing,60,M,Maroon,Spring,5,Yes,Standard,Yes,Yes,8,Venmo,Every 3 Months
778,Socks,Clothing,32,XL,Silver,Spring,2.5,Yes,Express,Yes,Yes,37,Venmo,Weekly
779,Socks,Clothing,50,M,Yellow,Summer,2.9,Yes,Store Pickup,Yes,Yes,23,Debit Card,Annually
780,Dress,Clothing,94,M,Blue,Spring,4.6,Yes,Express,Yes,Yes,38,Cash,Annually
781,Shoes,Footwear,26,M,Turquoise,Spring,3.6,Yes,Free Shipping,Yes,Yes,38,Cash,Quarterly
782,Scarf,Accessories,44,L,Indigo,Winter,3,Yes,Store Pickup,Yes,Yes,12,Credit Card,Fortnightly
783,Hoodie,Clothing,57,M,Green,Summer,4.5,Yes,Standard,Yes,Yes,15,Cash,Weekly
784,T-shirt,Clothing,65,L,Purple,Winter,4.5,Yes,Next Day Air,Yes,Yes,38,PayPal,Fortnightly
785,Jeans,Clothing,72,M,Peach,Winter,3.2,Yes,Store Pickup,Yes,Yes,41,Bank Transfer,Every 3 Months
786,Shorts,Clothing,62,S,Purple,Spring,4,Yes,Next Day Air,Yes,Yes,37,PayPal,Fortnightly
787,Hat,Accessories,21,S,Teal,Winter,4.8,Yes,Express,Yes,Yes,16,Bank Transfer,Every 3 Months
788,Handbag,Accessories,85,S,Green,Spring,3.7,Yes,Free Shipping,Yes,Yes,25,Venmo,Weekly
789,Pants,Clothing,51,XL,Yellow,Summer,3.8,Yes,Store Pickup,Yes,Yes,18,Bank Transfer,Quarterly
790,Handbag,Accessories,84,S,Purple,Fall,2.7,Yes,Standard,Yes,Yes,4,Credit Card,Bi-Weekly
791,Sweater,Clothing,37,M,Indigo,Summer,4.9,Yes,Store Pickup,Yes,Yes,12,Bank Transfer,Quarterly
792,Scarf,Accessories,44,S,Magenta,Summer,3.1,Yes,2-Day Shipping,Yes,Yes,35,PayPal,Fortnightly
793,Sneakers,Footwear,45,M,Violet,Spring,4.2,Yes,Next Day Air,Yes,Yes,45,Venmo,Weekly
794,Pants,Clothing,35,L,Maroon,Summer,3.8,Yes,Free Shipping,Yes,Yes,16,Credit Card,Monthly
795,Backpack,Accessories,50,XL,Yellow,Winter,4.2,Yes,Store Pickup,Yes,Yes,10,Debit Card,Fortnightly
796,Sandals,Footwear,26,M,Beige,Summer,4.6,Yes,Store Pickup,Yes,Yes,34,Venmo,Annually
797,Socks,Clothing,78,XL,Black,Fall,4,Yes,2-Day Shipping,Yes,Yes,43,Credit Card,Annually
798,Coat,Outerwear,82,M,Violet,Fall,4,Yes,2-Day Shipping,Yes,Yes,38,Debit Card,Weekly
799,Socks,Clothing,39,M,Violet,Spring,3.8,Yes,2-Day Shipping,Yes,Yes,48,PayPal,Every 3 Months
